Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Clasificación,Unnamed: 28
,,,,,,,,,,2023-01-03 00:00:00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para que su pedido llegue como UD. Lo desea, evite modificar otras columnas que no sean PEDIDO",,,,,,,,,,Unidades,Monto,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
CATEGORIA,CODIGO,NUEVO,CODBARRA,DESCRIPCION,PRECIO UNIT,OFERTA,PRECIO,INVENTARIO,FEC LOTE,PEDIDO,MONTO,,,,,,,,,,,,,,,,,
TABLETAS,303924,,7591619520896,ABRETIA 18 MG X 10 CAP (ATOMOXETINA) MEGALABS,16.28,0.1,14.652000000000001,42,2025-04-01 00:00:00,,0,,,,,,,,,,,,,,,,,
TABLETAS,103980,,7591619520902,ABRETIA 25 MG X 20 TAB (ATOMOXETINA) MEGALABS,19.58,0.1,17.622,13,2025-09-01 00:00:00,,0,,,,,,,,,,,,,,,,,
TABLETAS,307380,,8906005117366,ACECLOFENACO 100MG X 10 TAB UNICURE,1,0.1,0.9,27,2024-12-01 00:00:00,,0,,,,,,,,,,,,,,,,,
JARABE-GOTAS-INHALADORES Y OTROS,304770,,7592368002909,ACEITE DE ALMENDRA DULCE X 30ML F.S.I,2.77,0.1,2.493,37,2024-03-01 00:00:00,,0,,,,,,,,,,,,,,,,,
